Subject	Predicate	Object
Au3 Ligand	can perturb	host energy metabolism
Au3 Ligand	can perturb	immunity
microbiome	affect	human health
flora	represent	the kingdom Plantae therefor e
Microbiota	indicate	the microbial community
chronic lung diseases	can alter	composition
the Chinese	have	more diverse species
environmental and genetic factors	need	investigation
localized microbiome	can cause	far-reaching consequences
microbiota	can protect	physiological functions
a certain gut bacteria	cause	behavioral abnormality
the main fermentation products	provide	exte rnal resources
host parameters	could influence	the composition
host parameters	could influence	different consequences
co-colonization	promote	innate immune responses
Oral administration	improve	tumor-specific immunity
Bacteroides fragilis	protect	its host
Escherichia coli O21	protect	mice
interactions	can influence	health
Commensal microbes	determine	persistence
interferon-lambda	determine	persistence
Angiotensin-converting enzyme 2	link	amino acid malnutrition
dysbiosis	regulate	progression
Inflammation-associated enterotypes	drive	gut microbiota variation
host genotype	drive	gut microbiota variation
inter-individual effects	drive	gut microbiota variation
Inflammation-associated enterotypes	influence	the gut
Reciprocal gut microbiota transplants	reveal	host habitat selection
Caspase deficiency	alter	the murine gut microbiome
Human genetics	shape	the gut microbiome
Host genetic variation	influence	the upper airway microbiome
Complex host genetics	influence	the microbiome
MHC variation sculpts 	individualize	microbial communities
Chylomicrons	promote	intestinal absorption
Microbiota	modulate	behavioral and physiological abnormalities
Probiotic administration	attenuate	myocardial hypertrophy
Probiotic administration	attenuate	heart failure
Synbiotics	prevent	asthma
Bifidobacterium longum / Synergy	initiate	resolution
Commensal Bifidobacterium	promote	antitumor immunity
Metagenomic analyses	induce	pathogenic alterations
A microbial symbiosis factor	prevent	intestinal inflammatory disease
assessing the microbiota composition at high taxonomic resolution	reveal	changes
the microbiota	modulate	the function
the microbiota	modulate	homeostasis
evolution	favour	functional redundancy
truncal vagotomy	reduce	the risk
Methodical standardization procedures	ensure	the comparability
Enterococcus	unclassiﬁed	< Ruminococcaceae OTU
Ruminococcaceae	unclassiﬁed	< Ruminococcaceae OTU
Actinobacteria	show	an increase
PD patients	show	an increase
Three studies	find	a signiﬁcant reduction
Three studies	find	the genus Prevotella
One study	find	a similar but not signiﬁcant decrease
Verrucomicrobia	report	changes
Proteobacteria Single studies	find	changes
Entacapone	would not display	its beneﬁcial effects
A minority	discover	an aberrant Firmicutes
several other factors	inﬂuence	the Firmicutes : Bacteroides ratio
before extracting the DNA	increase	the Firmicutes : Bacteroides ratio
Commensal Clostridium species	show	a signiﬁcant and descriptive decrease
Two PD studies	show	an increase
The increased Ruminococcaceae	might play	in PD
Faecalibacterium , partly speciﬁed as Faecalibacterium prausnitzi or as an out	show	a signiﬁcant decrease
Faecalibacterium	show	a negative correlation
the Faecalibacterium prausnitzi species	include	a high diversity
Lachnospiraceae family	show	a depletion
Lachnospiraceae	include	many putative anti - inﬂammatory and thus potentially protective genera
Lachnospiraceae	include	potentially protective genera
The key members	show	a conﬁrmed decrease
Glucuronidase enzymes	mediate	the regeneration
Glucuronidase enzymes	activate	endogenous glucuronides
its metabolites	display	regulatory immune function
Glucuronidase enzymes	might penetrate	the mucus layer
BMAA	target	N - Methyl - D - aspartate ( NMDA ) receptors
BMAA	target	the neurotransmitter glutamate
Cyanobacteria	can produce	neurotoxins
PD patients	show	an increase in Cyanobacteria
AD patients	show	a decrease in Cyanobacteria
a probiotic intervention	could prevent	progression
the species Prevotella melaninogenica	show	an increase
Prevotella	exhibit	one of the highest effect sizes of change in the study of NMO
The fact	suggest	a possible protective role
Akkermansia muciniphila	exert	beneﬁcial effect
Akkermansia	use	mucus
Akkermansia together with Eubacterium , Capnocytophaga , Phascolarctobacterium and OTUs no further classiﬁed than to Firmicutes	achieve	a high prediction score
Escherichia coli , a member of the Enterobacteriaceae family ,	show	translocation
that Enterobacteriaceae ( and C . perfringens , B . fragilis , and Pseudomonas )	produce	hydrogen water
Pseudomonas	produce	hydrogen water
These researchers	perform	a study
Heintz - Buschart	discover	depleted unclassiﬁed OTUs
that	exhibit	very low fractional abundance
the genome	encode	an endoglucanase
All unclassiﬁed OTUs	show	common features
no studies	have analyse	the gut microbiome
this disease	show	a high conversion rate
Only one human case control study	analyse	the colonic microbiome
that	include	a decreased Firmicutes phylum
that	include	Clostridium genus
AD	show	an increased Bacteroidetes phylum
that	might evolve	discriminative power
Inheriting	increase	Christensenellaceae
Microbes	tickle	your tummy
Microbes	inﬂuence	neurologic disease
Dextrins	inhibit	the growth
Freezing fecal samples prior to dna extraction	affect	the ﬁrmicutes
Aquaporin 4 - speciﬁc t cells	exhibit	a th17 bias
Clostridium	perfringen	epsilon toxin
Clostridium perfringens epsilon toxin	induce	permanent neuronal degeneration
Clostridium perfringens epsilon toxin	induce	behavioral changes
Live faecalibacterium prausnitzii	does not enhance	epithelial barrier integrity
Human genetics	shape	the gut microbiome
The human gut	harbor	non - photosynthetic bacte ria
groundwater	harbor	non - photosynthetic bacte ria
Fecal microbiota transplantation therapy	mediate	the progression
Colonic FMT group	show	signiﬁcant improvement
Colonic FMT group	show	longer maintenance
FMT	can relieve	the motor and non - motor symptoms
PD	constitute	a serious public health burden
Colonic FMT	show	longer maintenance
PD treatment drugs	include	Madopar
PD treatment drugs	include	Trastal
PD treatment drugs	include	Amantadine
PD treatment drugs	include	Pramipexole
PD treatment drugs	include	Entacapone
PD treatment drugs	include	Peribedil
PD treatment drugs	include	Selegiline
PD treatment drugs	include	Rasagiline
Colonic FMT	show	longer maintenance
FMT	improve	the patients
FMT	improve	anxiety
only the colonic FMT group	show	the improvement effect
The damaged intestinal barrier	cause	systemic inﬂammation
Gut microbiota	may regulate	neuroinﬂammation
gut microbiota metabolites	may regulate	neuroinﬂammation
FMT	change	the gut microbiota
FMT	change	gut microbiota metabolites
the microbiota transplantation route	may affect	the efﬁcacy
colonoscopic FMT	show	better therapeutic effect
The fecal microbiota	represent	the colonic microbiota
nasointestinal FMT	has not achieve	satisfactory results
FMT	can relieve	the motor and non-motor symptoms
pathology	involve	both the enteric and the central nervous system
pathology	involve	the central nervous system
The gastrointestinal microbiome	encompass	a vast diversity
L-DOPA-naïve PD patients	carry	an altered gut microbiota composition
medication	affect	bacteria
in which medication affects bacteria and bacteria in turn	affect	the disease
PD samples	form	a subgroup
Gut microbes	discriminate	PD participants
PD patients	exhibit	significantly greater intestinal permeability
the early , L-DOPA-naïve PD patients	hold	a different species pattern
SCFA administration	promote	motor dysfunction
SCFA administration	promote	α-syn-mediated neuro-inflammation
The gut bacteria	harbor	a diverse phageome
Urinary metabolomics	demonstrate	significant changes
catabolism	include	glucuronidation
Pathological alpha - synuclein transmission	initiate	Parkinson-like neurodegeneration
Extracellular vesicles	protect	the progression
Commensal Akkermansia muciniphila exacerbates	gut	inflammation
Diet	alter	the human gut microbiome
Neuroinflammation	potentiate	each other, driving chronic progression of neurodegeneration in a mouse model of Parkinson’s disease
alpha-synuclein dysfunction	potentiate	each other, driving chronic progression of neurodegeneration in a mouse model of Parkinson’s disease
Short-chain fatty acids	regulate	the enteric neurons
Short-chain fatty acids	regulate	gastrointestinal motility
Gut microbiota	regulate	motor deficits
Gut microbiota	regulate	neuroinflammation
FMT	could raise	the a - diversity of Proteobacteria and Bacteroidetes
gut microbiota	can regulate	brain neurochemistry
Fecal microbiota transplantation	cure	epilepsy
Short-term daily intake	does not shorten	intestinal transit time
Fecal microbiota transplantation	induce	remission
the microbiome	inﬂuence	pathogenesis
FMT	impair	spatial learning
FMT	impair	memory
AD FMT	reduce	Verrucomicrobia
AD FMT	reduce	Proteobacteria
FMT-AD-HP	improve	behavioral measures
FMT-AD-HP	improve	decreased neuroinﬂammation
with constipation	consider	one of the earliest markers of prodromal PD [ 53 ]
FMT	restore	the abundance
FMT	increase	striatal neurotransmitters
FMT	increase	regulatory T-cells
FMT	ameliorate	the symptoms
FMT	restore	proportion
GI	had enrich	Hungatella hathewayi
D	espite	these limitations
Elangovan	publish	their manuscript
Borody	publish	their manuscript
Holsinger	publish	their manuscript
Conﬂicts	declare	no conﬂict
The authors	declare	no conﬂict
the microbiome	inﬂuence	anxiety
the microbiome	inﬂuence	depression
Altered microbiomes	distinguish	Alzheimer’s disease
Fecal microbiota transplantation	alleviate	Alzheimer ’ s disease - like pathogenesis
Fecal microbiota transplantation	decrease	amyloid load
Gut microbiota	enable	spontaneous autoimmune encephalomyelitis
Gut bacteria	modulate	human T cells
Fecal Microbiota Transplantation	reduce	Pathology and Improves Cognition
Butyrate - producing microbes	rescue	the deﬁcit mitochondrial respiration
Butyrate - producing microbes	rescue	ATP synthesis
Butyrate - producing microbes	rescue	autophagy
microbiota - synthesized micronutrients	exhibit	beneﬁcial value
Gut microbiome	regulate	the bile acids production
Gut microbiome	regulate	glucose metabolism
Gut microbiome	regulate	potentially hepatic autophagy
Secondary bile acids	possess	antimicrobial
Phenolic derivatives	repress	pathogenic microbes
rAntimicrobial effects	repress	pathogenic microbes
rUrolithin	exhibit	anti - inﬂammatory and cancer chemopreventive effects
spermidine	enhance	cancer development
spermine rDysregulated polyamine metabolism	enhance	cancer development
rSpermine	inhibit	pro - inﬂammatory M1 macrophage activation
Disrupted gut barrier function	will increase	gut permeability
microbial derived products	dysregulate	T - cell response
gut microbiota	facilitate	maturation
gut microbiota	facilitate	lymphocytopoiesis
EGCs	form	the enteric glial network
host factors	can induce	dysbiosis
secondary bile acids	inhibit	vegetative growth
Antibiotic administration	perturb	the gut microbial communities
scindens	inhibit	outgrowth
Colon biopsy samples	show	reduced mucus layer
Colon biopsy samples	show	defective epithelium
Colon biopsy samples	show	deep microbe
Colon biopsy samples	show	leukocyte - inﬁltration
the impaired host antimicrobial defense	reduce	the initial suppression
they	observe	a signiﬁcant elevation
Decrease	could enable	outgrowth
IBD	involve	heightened host inﬂammatory response
current therapeutic approaches for IBD	target	the aberrant pro - inﬂammatory immune response
Celiac disease	cause	cytoskeleton rearrangement
Celiac disease	cause	reduced occludin – ZO - 1 protein – protein interaction
Gram - negative bacteria	exhibit	secretion systems
Biﬁdobacterium lactis	exert	inhibitory on the increased gut permeability induced by gliadin
Prebiotics such as inulin - type fructans that selectively nourish Roseburia and Clostridium cluster XIVa , and arabinoxylan that increases the abundance of Biﬁdobacterium , Roseburia , and Bacteroides ,	have demonstrate	anti - adipogenic
arabinoxylan	have demonstrate	anti - adipogenic
tumor outgrowth	would damage	the intestinal barrier
gut microbiome	display	a bidirectional self - feeding relationship
CRC	display	a bidirectional self - feeding relationship
colonization	can trigger	TH17 - dependent colon tumorigenesis
BFT - mediated loss	could activate	T - cell factor – dependent Wnt ( Wingless - Int ) / β - catenin nuclear signaling in intestinal ep ithelial cells
combined action	can induce	myeloid into pro - tumoral monocytic - myeloid - derived suppressor cells ( MO - MDSCs )
that	could promote	vascular endothelial growth factor ( VEGF ) - mediated tumor angiogenesis
Biﬁdobacterium	could facilitate	PD - L1 blockade
treating the gastrointestinal dysfunction	will alleviate	such ASD - associated symptoms
treatment	has demonstrate	beneﬁcial in alleviating ASD - like symptoms in murine model
probiotic Biﬁdobacterium infantis	improve	the behavioral abnormalities
probiotic Biﬁdobacterium infantis	improve	stress - associated gastrointestinal dysfunction
Gut microbial products	regulate	murine gastrointestinal motility
Metabolic endotoxemia	initiate	obesity
Metabolic endotoxemia	initiate	insulin resistance
Dietary ﬁbre - based SCFA mixtures	promote	both protection
Dietary ﬁbre - based SCFA mixtures	promote	repair
Systematic information	improve	adherence
Microbiota - generated metabolites	promote	metabolic beneﬁts
The microbiome	regulate	energy metabolism
butyrate	regulate	energy metabolism
Vitamin D deﬁciency	change	the intestinal microbiome
Metabolism	link	bacterial bioﬁlms
Metabolism	link	colon carcinogenesis
Microbiota	control	the homeostasis
Intestinal microbiota metabolism	promote	atherosclerosis
Biﬁdobacterium longum	modulate	immune responses
Urolithins	exhibit	estrogenic and antiestrogenic activities
Human originated bacteria	produce	conjugated linoleic acid
Dysbiosis	may trigger	autoimmune diseases
Biﬁdobacterium strains	suppress	the pro - inﬂammatory milieu
T4 phage tail adhesin gp12	counteract	LPS - induced inﬂammation
the blood – brain barrier dysfunction	induce	b y activated microglia
Fusobacterium nucleatum	promote	colorectal carcinogenesis
Biﬁdobacterium longum	inhibit	colon cancer
Commensal Biﬁdobacterium	promote	antitumor immunity
Corticotropin - releasing hormone	stimulate	thermogenesis
Chronic kidney disease	alter	intestinal microbial ﬂora
Symbiotic bacterial metabolites	regulate	gastrointestinal barrier function
Gut ﬂora metabolism	promote	cardiovascular disease
Metabolomics analysis	reveal	large of gut microﬂora on mammalian blood metabolites
Bacteroides fragilis enterotoxin	induce	c - Myc expression
Bacteroides fragilis enterotoxin	induce	cellular proliferation
A human colonic commensal	promote	colon tumorigenesis
Fusobacterium nucleatum	potentiate	intestinal tumorigenesis
Short - chain fatty acids	stimulate	leptin production
probiotic supplementation	improve	intestinal microbial balance
probiotic supplementation	improve	immunity
probiotic supplementation	improve	overall g rowth
probiotic supplementation	increase	the microbial diversity
probiotic supplementation	increase	richness
Taxonomic composition comparison	determine	operational taxonomic units
Transcriptome analysis	produce	RNA - seq reads
probiotic supplementation	increase	the microbial diversity
probiotic supplementation	increase	richness
plantarum in nursery pig diets	increase	growth performance
plantarum in nursery pig diets	increase	blood immunoglobulin concentrations
plantarum complex	elevate	the fecal population
size	affect	the absorption capacity
the gut microbiota	undergo	dramatic and partly revocable alterations
The ratio	can affect	the capacity
The relative abundance	occupy	the largest part
their incre	ase	abundance
The study	administrate	L
rhamnosus GG	did not detect	the statistical difference
we	perform	the enumeration
we	predict	the expression pattern
We	perform	gene ontology analysis
which	constitute	a diverse family
The gene expression analysis	identify	PLA2G2A
BPI	play	a significant function
SLPI	inhibit	several leukocyte serine proteases
transcriptome data	present	probiotic suppl ementation
These gene expression data	imply	attenuated inflammation status
Two - component signaling cascade	affect	flagellar rotation
chemotaxis - related proteins	affect	flagellar rotation
probiotic supplemenation	increase	branched chain amino acid biosynthesis
probiotic supplemenation	increase	butyrate metabolism
Branched chain amino acids	promote	intestinal development
Branched chain amino acids	promote	maintenance
Branched chain amino acids	promote	immune defense functions
Oral treatment	reduce	Brachyspira pilosicoli - induced pathology
Diet	shape	the gut microbiome
Lactobacillus	promote	intestinal development
plantarum PFM	promote	intestinal development
Probiotic Lactobacillus rhamnosus GG	induce	alterations
Interleukin - 22 - induced antimicro - bial phospholipase A2 group IIA	mediate	protective innate immunity
gut bacteria	play	important roles
Important bacterial PAMP ligands	comprise	lipopolysaccharides
Important bacterial PAMP ligands	comprise	peptidoglycans
Important bacterial PAMP ligands	comprise	lip - oteichoic acid
Important bacterial PAMP ligands	comprise	ﬂagellin
Important bacterial PAMP ligands	comprise	muramyldipeptide
Microbiota metabolites	affect	host metabolism
SCFAs	trigger	the secretion
, butyrate	activate	b - oxidation
, butyrate	activate	oxidative phosphorylation
intratumoral expression	can inhibit	tumor growth
copri	show	beneﬁcial effects
recent study	show	that P . copri and Bacteroides vulgatus exacerbate glucose tolerance
whether P . copri works as a beneﬁcial or deleterious bacterium	require	further investigation
Bacteroides	fragili	Anti - inﬂammations
muciniphila	modulate	the endocannabinoid ( eCB ) system
A . muciniphila	may involve	anticancer immunotherapy
muciniphila	improve	the compromised efﬁcacy
muciniphila	show	many beneﬁcial effects
fragilis strains	involve	the abdominal infections
fragilis strains	show	many beneﬁcial effects
fragilis polysaccharide A	direct	microbiota
fragilis polysaccharide A	direct	host interactions
goldsteinii als	show	its potential
a water extract	reduce	obesity
a water extract	reduce	inﬂammation
a water extract	reduce	resistance
a water extract	reduce	insulin
A high molecular weight polysaccharide fraction	lower	body weight
g oldsteinii bacteria	reduce	weight gain
g oldsteinii bacteria	reduce	obesity - associated metabolic disorders
Subclinical - dose endotoxin	sustain	low - grade inﬂammation
Ganoderma lucidum	reduce	obesity
Butyrate	enhance	the intestinal barrier
Microbiota - activated PPAR - gamma signaling	inhibit	dysbiotic Enterobacteriaceae expansion
Commensal Biﬁdobacterium	promote	antitumor immunity
Human gut microbes	impact	host serum metabolome
Human gut microbes	impact	insulin sensitivity
The human commensal Bacteroides fragilis	bind	intestinal mucin
Plasmacytoid dendritic cells	mediate	anti - inﬂammatory responses
Human genetics	shape	the gut microbiome
Eubacterium limosum ameliorates	attenuate	colonic inﬂammatory action
experimental colitis	attenuate	colonic inﬂammatory action
Enterococcus hirae	facilitate	cyclophosphamide - induced therapeutic immunomodulatory effects
barnesiella	facilitate	cyclophosphamide - induced therapeutic immunomodulatory effects
intestinihominis	facilitate	cyclophosphamide - induced therapeutic immunomodulatory effects
intestinal lumen microflora	influence	CRC risk
mucosa - associated microbiota	affect	CRC risk
The highly enriched major Gram - negative bacteria	exhibit	direct interaction
enriched Fusobacteria	infect	intestinal tissue
Synergistetes	infect	intestinal tissue
Mucosa adherent microbial structures	exhibit	similarity
the swab microflora	represent	a combination
the swab microflora	represent	a mucosa population
the segmented filamentous bacteria	induce	inflammation
prausnitzii	induce	colonization resistance
Faecalibacterium	play	a probiotic role
R . gnavus	produce	an antibacterial peptide
gingivalis	penetrate	periodontal tissue
the enriched bacteria Desulfovibrio	reduce	sulfate
intestinal lumen microflora	influence	CRC risk
Fusobacterium nucleatum	could cause	colorectal cancer
an infection	could cause	colorectal cancer
reducing inflammation	promote	engraftment of the healthy donor microbiota
a higher Simpson dominance	mean	a higher concentration
A subgroup	reach	a successful combined clinical and endo scopic remission
our analyses	highlight	a potentially beneficial role
we	identify	several other bacterial families
which	exhibit	associations
those who received FMT from donor	require	stronger micro biota changes
Prevotellaceae	constitute	a sizable proportion
Screening the patients ( and donors ) for Prevotellaceae before and during treatment and matching donors to patients	might improve	the response
higher levels of Prevotellaceae	may confer	health benefits
the intestinal microbiota	exhibit	complex interactions
Mucosa - associated gut microbiota	reflect	clinical course
Perturbation	enhance	host susceptibility
Cultivation - independent genomes	expand	taxonomic - profiling capabilities
Fecal microbiota transplantation	induce	remission
Kae	can attenuate	lipopolysaccharide ( LPS ) - induced murine neuroinﬂammation
Kae	can suppress	LPS / ATP - induced inﬂammatory responses
Kae supplementation	improve	the intestinal barrier
DSS treatment	cause	severe enteric mucosal injury
Kae	could alleviate	the gross symptoms
Kae	attenuate	DSS - Triggered Pro - Inﬂammatory Responses
DSS	trigger	signiﬁcantly increased serum IL
DSS	trigger	TNF - a levels
Kae supplementation	reverse	this tendency
DSS treatment	increase	mRNA level expression
Kae pre - treatment	reveal	an improvement
the anti - inﬂammation effects	involve	maintenance
Kae	reshape	the Diversity
Kae	reshape	Richness
DSS	trigger	metabolic endotoxemia
Kae pretreatment	inhibit	DSS - induced expression
FMT	increase	colon length
FMT	increase	reduced DAI scores
Kae	increase	the diversity
Kae	increase	richness
Kae	could alleviate	epithelial barrier dysfunction
Kae supplementation	alleviate	UC
The major phyla constituting	include	Firmicutes
The major phyla constituting	include	Bacteroides
intestinal microorganisms	include	Firmicutes
intestinal microorganisms	include	Bacteroides
Kae	could reverse	the F / B ratio
Kae	suppress	the LPS - TLR4 - NF - kB signaling pathway
Kae	reduce	the intestinal permeability
Kae	could restore	the expression
Kae	exert	immunoregulatory effects
Kae	exert	excellent anti - UC effects
Kae	reduce	LPS levels
Kaempferol	inhibit	the Invasion
Kaempferol	inhibit	Migration
Non - Soya Legume - Based Therapeutic Lifestyle Change Diet	reduce	Inﬂammatory Status
Dietary Kaempferol 	suppresses	Inﬂammation
this act in part by causing the accumulation of misfolded proteins , in addition to producing other deleterious model	remain	the gold standard
mutations	cause	an inherited vulnerability
through the oral administration	alleviate	most of Clinical Characteristics of PD these symptoms
dopamine antagonists	occur	fre - Hydrocephalus : normal pressure hydrocephalus
depletors Hemiatrophy - hemiparkinsonism Abnormalities	occur	fre - Hydrocephalus : normal pressure hydrocephalus
they	project	Progressive supranucle ar palsy
putamenal DA	is deplete	80 %
most PD patients	suffer	considerable motor disability
Bradykinesia	may impair	the minals
Immunostaining	reveal	a Lewy body
some patients	develop	to the onset
Human epidemiological studies	have implicate	resi - dence
quaternary ammonium cation	prevent	its passage
some environmental factors	do modify	PD susceptibility
Pathogenic mutations	may induce	abnormal protein conformations
misfolded proteins	cause	toxicity
misfolded proteins	cause	damage cells
