Subject	Predicate	Object
Lewy bodies	promote	toxicity
LBs	contain	oxidatively modified - synuclein
Several herbicides	induce	misfolding
pesticides	induce	misfolding
long thought to play a cumulation of misfolded proteins	may provoke	a vicious cycle
MPTP	block	the mitochondrial electron
PCD	occur	the mitochondrial respiration
that	display	fea - normally produced as byproducts , including hydrogen tures of apoptosis , a morphological correlate of PCD
oxidation	produce	DA - quinone
DA - quinone	damage	proteins
sporadic and inherited PD , or posed differently	does take	many decades
inherited PD	does take	many decades
Presumably , all of these tox - cell - based ( e . g . , stem cell ) or pharmacological thera - ins	provoke	the formation
pharmacological thera - ins	provoke	the formation
6 - OHDA	produce	a more protracted eration
gene therapy	mimic	the motor symptoms ways
These re - minergic neurons	share	key molecular features
rotenone	exert	a more widespread PD
dopaminergic neurons	display	The herbicide paraquat ( N , N - dimethyl - 4 - 4 - bipiridi - sensitivity
As noted above , In addition , the use of rotenone in rodents is technically paraquat	show	structural similarity
paraquat	does penetrate	the blood
its CNS distribu - relationship	does not parallel	any known enzymatic or neuroana - death
the an irreversible and severe parkinsonian syndrome char - investigators	find	clear evidence
Rote - exhibit preferential degeneration of putamenal versus none	bind	mitochondrial complex
dopa - rotenone	may enter	all cells
Neuromelanin	may contribute	neurodegenera
the pro - toxin trophic factor ( GDNF ) both	limit	MPTP - MPTP
the pro - toxin trophic factor ( GDNF ) both	limit	the only cells
deletion	prevent	MPTP - induced do - kinsonism
heterozy - gous V MAT2 null mice	display	enhanced sensitivity
MPP effects	can stimulate	the production
that heterozy - gous V MAT2 null mice display enhanced sensitivity to chondria	can stimulate	the production
critical effectors	impair	oxidative phosphorylation
mitochondrial release	demonstrate	that the activation of PCD is instru - c ( an electron carrier and a mediator of PCD ) , and activa - mental in MPTP toxicity
mitochondrial release	demonstrate	activa - mental
MPTP administra - formation	will help	focus research
some atypical features	have been note	PD
some atypical features	involve	protein aggregation
this prevalent presynap - tic protein	may modulate	synaptic vesicle function
( re - known pathogenic - synuclein mutations	promote	the for - mation
presynaptic nerve terminals	may cause	toxicity
parkin mutant patients	display	the classical signs
none	assess	dopaminergic nerve terminal striking response
Parkin	contain	two RING the protein
Parkin	contain	an ubiquitin - like that membrane binding elicits a functionally important alteration in the protein
membrane binding	elicit	a functionally important alteration
ligase	may be traffic	proteins
E3	ligase	confer target specificity
the dria	has been implicate	E3 ligase activity
dopaminergic neurodegen - neurons parkin overexpression	attenuate	cyclin E ac - eration
This minergic neurons	catalyze	the hydrolysis
UCH - L1	exert	a previously unrecognized ubi - quitin ligase activity
transgenic coexpression	prevent	the dopaminergic neuronal loss
dysfunction	reproduce	features
Paraquat	elicit	neurobehavior al syndrome tance
Neurology	preserve	dopamine neurons
Neurology	preserve	motor function
Mutation Systemic administration	produce	selective damage
Oxi - dative damage	induce	NADH - depen - synuclein nitration
1 - Mehtyl - 4 - phenylpyridinium	induce	NADH - depen - synuclein nitration
meperidine analogue N - methyl - 4 - phenyl - 1 , 2 , 3 , 6 - tetrahydropyridine Chronic systemic complex I inhibition	induce	a hypokinetic on brain catecholamine neurons in the mouse
transporters	accelerate	dopamine - induced apoptosis
6 - hydroxydo - 53 →Thr mutation	cause	neurodegenerative disease
Mutations	cause	autosomal recessive juvenile
The neurotoxin 1 - methyl - 4 - phenylpyridinium is Dopamine neurons from transgenic mice with a knockout of the p53 gene	resist	MPTP neurotoxicity
Dopamine	transporter	me ssenger RNA
heterozygotes	display	reduced amphetamine - con - Vila
DJ	regulate	the androgen receptor
Increased Caspase	accompany	nuclear GAPDH translocation
Increased Caspase	accompany	neuronal apoptosis Warrick
immunoreactivity	accompany	nuclear GAPDH translocation
immunoreactivity	accompany	neuronal apoptosis Warrick
NADPH oxidase	mediate	oxidative stress
Gene transfer	protect	dopaminergic neurons
Probiotics	can confer	health beneﬁts
live microorganisms	can confer	health beneﬁts
The phylum Firmicutes	include	Gram - positive bacteria
the phylum Bacteroidetes	include	approximately 7000 species
dysbiotic increases	do not change	the F / B ratio
probiotics	can treat	several diseases
Changes	can cause	obesity
Changes	can cause	inﬂammatory bowel disease
Speciﬁc probiotics	can restore	the gut microbial balance
The gut microbiota	promote	bile acid metabolism
The gut microbiota	promote	modiﬁes hepatic triglyceride
The gut microbiota	promote	glucose homeostasis
Qatari subjects	exhibit	altered gut microbiota
( BMI < 25 kg / m2 ) Korean adolescents ( aged 13 – 16 years )	reveal	no significant differences
rhamnosus hsryfm	decrease	Firmicutes
Enhanced insulin sensitivity	decrease	low - density lipoprotein cholesterol
The administration of Lactobacillus rhamnosus GG and Lactobacillus sakei NR28	decrease	the F / B ratio
the two probiotic strains	reduce	epididymal fat mass
the two probiotic strains	reduce	stearoyl - CoA desaturase
rhamnosus hsryfm	reduce	serum lipid levels
A 12 - week high - fat diet	induce	an obese insulin - resistant condition
salivarius Ls - 33	increase	the Bacteroidetes – Prevotella – Porphyromonas – Firmicutes ratio
Apart from Lactobacillus , bacteria from the genus Bacillus , namely Bacillus amyloliquefaciens SC06 ,	decrease	the F / B ratio
Apart from Lactobacillus , bacteria from the genus Bacillus , namely Bacillus amyloliquefaciens SC06 ,	decrease	body weight
Apart from Lactobacillus , bacteria from the genus Bacillus , namely Bacillus amyloliquefaciens SC06 ,	decrease	hepatic steatosis
IBD	encompass	two types
UC	cause	long - lasting inﬂammation
CD	cause	inﬂammation
TNF - α	play	a pivotal role
Gut microbiota	can induce	inﬂammatory reactions
TLRs	maintain	gut homoeostasis
The TLR heterodimers	triacylate	lipopeptides
certain TLRs	play	a protective role
TLR - 9	recognize	bacterial CpG DNA
Gut microbiota metabolites	can protect	the host
SCFAs	increase	extrathymic regulatory T cell
SCFAs	promote	the synthesis
prausnitzii	demonstrate	anti - inﬂammatory
prausnitzii	reduce	the severity
A fecal microbial analysis	reveal	decreased abundancies
Bacteroidetes bacteria	exhibit	pro - inﬂammatory properties
Firmicutes bacteria	exhibit	anti - inﬂammatory
biﬁdum WBIN03	increase	unidentiﬁed Firmicutes
Increased antioxidant factors	decrease	TNF - α
[ 85 ] L . fermentum KBL374 and L . fermentum KBL375 Increased Lactobacillus	decrease	Bacteroides
[ 85 ] L . fermentum KBL374 and L . fermentum KBL375 Increased Lactobacillus	decrease	Mucispirillium
reuteri DSM	affect	gut microbial homeostasis
The probiotic gavage	increase	the proportion
reuteri DSM	support	trafficking of regulatory T cells
Both live and heat - killed bacteria	increase	Firmicutes
The probiotic	exert	an ti - inflammatory effects
The combination	reduce	UC
The probiotic mixture	increase	the abundance
the two probiotics	downregulate	TNF - α and
the two probiotics	downregulate	upregulated antioxidant factors
fermentum KBL374 and L . fermentum	correct	gut dysbiosis
IBD patients	receive	a probiotic yogurt
biﬁdobacteria - fermented milk	reduce	the relative proportion
Biﬁdobacteria	alter	gut microbiota
the F / B ratio	can reduce	weight gain
The gut microbiota	suppress	insulin - mediated fat accumulation
Obesity	alter	the microbial community proﬁle
Lactobacillus paracasei HII01	reduce	gut disturbance
xylooligosaccharides	reduce	gut disturbance
synbiotics	reduce	gut disturbance
Saccharomyces boulardii administration	changes	gut microbiota
Microbiota - dependent crosstalk	promote	intestinal homeostasis
Metabolites	promote	peripheral regulatory T - cell generation
Microbiota - derived short - chain fatty acids	promote	Th1 cell IL - 10 production
High - throughput clone library analysis	reveal	dysbiosis between inﬂamed and non - inﬂamed regions
Commensal Bacteroides species	induce	colitis
Lactobacillus reuteri DSM 17938 feeding	regulate	immune responses
Lactobacillus plantarum AN1 cells	increase	caecal L
Lactobacillus fermentum species	ameliorate	dextran sulfate sodium - induced colitis
Butyrylated starch	increase	colonic butyrate concentration
Consumption	increase	Faecalibacterium prausnitzii abundance
the duodenum	harbor	most of the phyla and groups , including the duodenum - unique Chlorobi , Chloroflexi , Ni trospirae , SM2F11 , SPAM , TM6 and WS3 groups
Bacteroidia	dominate	the GI t ract
Three bacterial phyla	dominate	the GI tract
Bacteroidetes	dominate	the GI tract
the Proteobacteria	dominate	the GI tract
Bacteriodetes	dominate	the WT mice gut
the gastric and small intestinal microbiota	show	remarkable inter - mouse variation
The variable dominance	support	the influence
the mouse GI tract	harbor	many distinct niches
Equine stomachs	harbor	an abundant and diverse mucosal microbiota
Rest tremor	are consider	the cardinal signs of PD
Other clinical features of PD	include	secondary motor symptoms
genetic mutations	increase	oxidative stress
Rest tremor	can involve	the lips
Rest tremor	can involve	chin
Rest tremor	can involve	jaw
Rest tremor	can involve	legs
Taking more than two steps backwards or the absence of any postural response	indicate	an abnormal postural response
movements	accompany	voluntary activity
Features of PD	include	orthostatic hypotension
Features of PD	include	sweating dysfunction
Features of PD	include	93 sphincter dysfunction
Features of PD	include	erectile dysfunction
Rapid eye movement sleep behaviour disorder	consider	a pre - parkinsonian state
Recent positron emission tomography imaging studies	have show	relative preservation
Brain parenchyma sonography	discriminate	Parkinson ’ s disease
Brain parenchyma sonography	discriminate	atypical parkinsonian syndromes
the induced Th17 cells	potentiate	inflammatory disease
copri	enhance	susceptibility
PhyloPhlAn	locate	400 u biquitous bacterial genes
Prevotella OTU4	form	a clade
TU12	form	a clade
OTU934	form	a clade
we	apply	MetaPhlAn
MetaPhlAn	determine	the presence
MetaPhlAn	determine	absence
ubiquinone oxidoreductase	figure	supplement 2A
the NORA metagenome	encode	unique functions
copri	reveal	the ability
copri - colonized mice	had reduce	Bacteroidales
copri - colonized mice	had reduce	Lachnospiraceae
copri colonized mice	show	significantly decreased weight loss
an environmental factor	trigger	systemic joint inflammation
dysbiosis	influence	human RA
the ubiquinone oxidoreductase pathway	may provide	a fitness advantage
copri	dominate	the colonic m icrobiome
copri	recapitulate	the differences
copri	may facilitate	resistance
copri genome	encode	phosphoadenosine phosphosulfate reductase
copri	display	increased inflammation
copri - defined microbiota thrives	may exacerbate	inflammation
NLRP6 inflammasome	regulate	colonic microbial ecology
Intestinal microbiota metabolism	promote	atherosclerosis
SILVA	align	ribosomal RNA sequence data
The genome	reveal	extensive auxotrophy
The genome	reveal	adaptations
Genome - wide association studies	have identify	multiple loci
Genome - wide association studies	have identify	heritable bacterial taxa
Genome - wide association studies	have identify	single nucleotide polymorphisms
the low GRS group	present	high abundance
Prevotellaceae	show	the highest importance
macronutrient intake	modify	the association
Host genetics	determine	the metabolism
Host genetics	determine	absorption
bacteria	produce	a wide range
several investi gations	have show	sex - related differences
Human genetics	shape	the gut microbiome
Genome - wide association analysis	identify	variation
Symbiotic gut microbes	modulate	human metabolic phenotypes
Body mass index	affect	diverse microbial niches
sex	affect	diverse microbial niches
Previous studies	have demonstrate	constipation in PD patients
Previous studies	have demonstrate	infrequent bowel movements in PD patients
constipation	affect	the PD patient ’
The intesti - nal immune system	play	an essential role
gut microbiota	affect	the motor symptom s
SCFA	modulate	the activity
fecal microbiota transplantation	exacerbate	the α - Syn mediated motor dysfunction
gut microbiota	can influence	brain function
bacteria	can produce	SCFA
Gut microbiota	regulate	motor deficits
Gut microbiota	regulate	neuroin ‑ flammation
Gastrointestinal transit time	use	a mag netic tracking system
Host microbiota	control	maturation
Host microbiota	control	function
Microbiota Transfer Therapy	alter	gut ecosy stem
Short - chain fatty acids	regulate	the enteric neurons
Short - chain fatty acids	regulate	control
Short - chain fatty acids	regulate	gastrointestinal motility
H22954	inhibit	cancer growth
Movement disorder specialists	administer	the UPDRS
Movement disorder specialists	administer	MDS - UPDRS
study coordinators	administer	the UPDRS
study coordinators	administer	MDS - UPDRS
The MDS - UPDRS	show	high internal consis - tency
midline function	leave	upper extremity
midline function	leave	postural and kinetic tremors
bradykinesia	leave	upper extremity
bradykinesia	leave	postural and kinetic tremors
The MDS - UPDRS	involve	participation
the composition	reﬂect	an effort
We	place	special emphasis
we	did not achieve	our goal
The clinimetric analysis	support	the reliability
The clinimetric analysis	support	validity
The scaling modiﬁcations	provide	new information
item addi - tions	provide	new information
that	represent	clinically relevant domains
it	allow	statistical assessment
the two scales	are measure	the same overall entity
The ﬁnal step	will involve	an assessment
avail - able statistical pro grams	will allow	this level
one	endorse	a high score
the other	endorse	a high score
the two curves	do not follow	a linear progression
the item	does not perform	the same
we	present	the MDS - UPDRS
The MDS Task Force	has initiate	a number
we	recommend	a uniform selection
The next steps	include	the non - English translations
Acknowledgments	receive	unrestricted grants
The MDS	receive	unrestricted grants
The UK Parkinson ’ s	provide	sup - port
Disease Society	provide	sup - port
We	acknowledge	the work
the MDS	acknowledge	the work
whose data	form	the core
We	observe	intestinal barrier injury
We	observe	gut
microbiota dysbiosis	coccaceae	genus enrichment
Fecal microbiota transplantation	mirror	the effect
macrophage depletion	attenuate	BMS - 1 - induced cardiotoxicity
neutralization	attenuate	BMS - 1 - induced cardiotoxicity
Prevotella loescheii recolonization	alleviate	PD - 1
butyrate supplementation	alleviate	PD - 1
Butyrate	can protect	against doxorubicin ( DOX ) - induced cardiotoxicity
its derivative phenylalanine butyramide	can protect	against doxorubicin ( DOX ) - induced cardiotoxicity
manipu - lation	prevent	PD - 1 / PD - L1 inhibitor - induced cardio - myocyte apoptosis and cardiotoxicity
manipu - lation	prevent	cardiotoxicity
its metabolites	prevent	PD - 1 / PD - L1 inhibitor - induced cardio - myocyte apoptosis and cardiotoxicity
its metabolites	prevent	cardiotoxicity
a PD - 1 inhib - itor	induce	cardiac injury
flavonoid glabridin	prevent	DOX - induced acute cardiotoxicity
CYP4X1 inhibition	repolarize	tumor - asso - ciated macrophages
small - mol - ecule PD - 1 / PD - L1 inhibitors	offer	inherent advantages
gut microbiota dysb iosis	upregulate	proinflam - matory factors
gut microbiota dysbiosis	promote	M1 - like polarization
gut microbiota dysbiosis	promote	the production
Intestinal barrier dysfunction	amplify	PD - 1 / PD - L1 inhibitor - related cardiotoxicity
targeting gut microbiota to polarize colonic mac rophages away from the M1 - like phenotype	could provide	a potential therapeutic strategy
The food intake by the mice treated with the PD - 1 / PD - L1 inhibitor BMS - 1 ( 5 and 10 mg / kg )	show	a decreasing trend compare d
BMS	decrease	the weight
BMS	increase	the BNP level
BMS	increase	interstitial fibrosis and the number of terminal deoxynucleotidyl transferase dUTP nick end labeling ( TUNEL ) - positive cardiomyo - cytes in the cardiac tissues
the PD - 1 / PD - L1 inhibitor BMS - 1	induce	cardiomyocyte apoptosis
the PD - 1 / PD - L1 inhibitor BMS - 1	induce	car diotoxicity
BMS ‑	induce	intestinal mucosal barrier injury
BMS	decrease	the mesenteric perfusion
BMS	induce	intestinal mucosal barrier injury
BMS	did not influence	the total fecal bacterial load
BMS	did not influence	category
BMS	alter	the abundance
BMS - 1 dose	deplete	Bacteroidales
BMS - 1 dose	deplete	Christensenellales
loescheii colonization	alleviate	PD - 1 / PD - L1 inhibitor - related cardiotoxicity
butyrate supplementation	alleviate	PD - 1 / PD - L1 inhibitor - related cardiotoxicity
FMT	induce	the apoptosis
Gut microbiota metabolites	mediate	anti - inflammatory effects
BMS	decrease	butyrate level
loescheii colonization	attenuate	BMS - 1 - induced myocardial enzyme leakage
butyrate supplementation	attenuate	BMS - 1 - induced myocardial enzyme leakage
a PD - 1 inhibitor	induce	M1 - like polarization
the anti - IL - 1β	abolish	BMS - 1 - induced cardiotoxicity
anti - TNF - α antibody	abolish	BMS - 1 - induced cardiotoxicity
loescheii colonization	downregulate	IL ‑ 1β
loescheii colonization	downregulate	TNF ‑
butyrate supplementation	downregulate	IL ‑ 1β
butyrate supplementation	downregulate	TNF ‑
loescheii colonization	inhibit	the BMS - 1 - induced increase
butyrate supplementation	inhibit	the BMS - 1 - induced increase
loe scheii colonization	downregulate	the mRNA expression
butyrate supplementation	downregulate	the mRNA expression
loescheii colonization	prevent	M1 - like polarization
butyrate supplementation	prevent	M1 - like polarization
Butyrate	prevent	NF ‑ κB ‑ mediated M1 ‑
PPARα	regulate	M1 macrophage polarization
7C - F , butyrate	prevent	LPS - induced upregulation
loescheii colonization	downregulate	IL - 1β
loescheii colonization	downregulate	TNF - α
butyrate supplementation	downregulate	IL - 1β
butyrate supplementation	downregulate	TNF - α
7 Butyrate	prevent	NF - κB - mediated M1 - like polarization and cardiomyocyte apoptosis
the PPARα antagonist GW6471	abolish	the protective effect
that butyrate	prevent	LPS - induced M1 - like polarization and cardiomyocyte apoptosis
anti - IL - 1β	abolish	LPS - induced car - diotoxicity
anti - TNF - α antibody	abolish	LPS - induced car - diotoxicity
butyrate	prevent	NF - κB - mediated M1 - like polarization and cardiomyocyte apoptosis
PPARα	activate	human CYP4X1 gene transcrip - tion
PPARα siRNA	downregulate	CYP4X1
PPARα siRNA	downregulate	S2
PD - 1 / PD - L1 inhibitors	induce	cardiomyocyte apop - tosis
PD - 1 / PD - L1 inhibitors	induce	cardiotoxicity
loescheii colonization	play	a protective role
butyrate supplementation	play	a protective role
8 Butyrate	prevent	NF - κB - mediated M1 - like polarization and cardiomyocyte apoptosis
a PD - 1 / PD - L1 inhibitor	induce	car - diomyocyte apoptosis
a PD - 1 / PD - L1 inhibitor	induce	a nd cardiotoxicity
P . loescheii recolonization and butyrate supplementa - tion	decrease	the tumor weight
P . loescheii recolonization and butyrate supplementa - tion	decrease	luciferase intensity
loescheii	could influence	the efficacy
loescheii	could influence	cardiotoxicity
butyrate	could influence	the efficacy
butyrate	could influence	cardiotoxicity
Colonic macrophages	provide	an active target
TNF - α blockade	attenuate	PD - 1 / PD - L1 inhibitor - related cardiotoxicity
microbiota dysbiosis	mediate	PD - 1 / PD - L1 inhibitor - related cardiotoxicity
PPARα activation	upregulate	human CYP4X1 gene transcription
PPARα activation	upregulate	CYP4X1 - derived cannabinoid metabolites further activated PPARα
Cyp4x1 knockout	inhibit	PPARα expression
exogenous sup - plementation	promote	PPARα expression
inactivation	upregulate	proinflammatory factors IL - 1β
inactivation	upregulate	TNF - α
programmed cell death - ligand 1 interaction	protect	human cardiomyocytes
Glabridin	prevent	dox - orubicin - induced cardiotoxicity t hrough gut microbiota modulation
Glabridin	prevent	colonic macrophage polarization
CYP4X1 inhibition	normalize	glioma vasculature
KALRN mutations	promote	antitumor immunity
KALRN mutations	promote	immunotherapy response
Sequential blockade	cause	fulminant cardiotoxicity
PD - L1	cause	fulminant cardiotoxicity
PPARalpha - UGT axis activation	repress	intestinal FXR - FGF1 5 feedback signalling
N - oxide	protect	mito - chondrial energy metabolism
N - oxide	protect	cardiac functionality
Intestina l microbiome analyses	identify	melanoma patients
A proinflammatory gut microbiota	increase	systemic inflammation
A proinflammatory gut microbiota	increase	accelerates atherosclerosis
gut microbiota	affect	the brain activity
the brain activity	increase	intestinal permeability
intestinal permeability	increase	oxidative stress
oxidative stress	increase	local inflammation
local inflammation	cause	blood brain barrier leakage
dysfunction	accompany	PD
21 The most promising poten tial clinical pro dromal PD biomarkers	include	bowel dysfunction
21 The most promising poten tial clinical pro dromal PD biomarkers	include	mood disorders
gut microbiota	affect	the brain activity
Clinical biomarkers NMS	post	prandial fullness
Clinical biomarkers NMS	post	tremor NMS
pylori infection	fail	defecation attempts
small intestinal bacterial overgrowth Motor severity	fail	defecation attempts
, serum antigen test Constip ation and defecatory dysfunction Infrequent bowel movements	fail	defecation attempts
defecatory dysfunction Infrequent bowel movements	fail	defecation attempts
SIBO	affect	almost one quarter
SIBO	affect	its eradication results
neurons	can not control	reactive oxy gen species
neurons	can not control	reactive nitrogen species
glial cells	can not control	reactive oxy gen species
glial cells	can not control	reactive nitrogen species
systemic inflammation	promote	neuro inflammation
synuclein pathology	promote	neuro inflammation
neuro inflammation	characterize	PD
Gut inflammation	drive	gastrointestinal dysfunction mediated Parkinson ’ s disease ( PD ) pathogenesis model
Reliable Early Non - motor Biomarkers PD patients	exhibit	GI dysfunction
constipation	indicate	the development of PD
PD patients	show	inflammation
PD patients	show	oxidative stress
Objective measures for PD	include	leukocyte subset counts
Objective measures for PD	include	TNF - α
An increase IL - 6 concentration	collect	four years earlier predicts PD in pati ents
Gut microbiota	may regulate	5 - HT
5 - HT	enable	lipopolysaccharide translocation
117 Correlating Gastrointestinal Mediated Non - motor Symptoms	include	GI symptoms
117 Correlating Gastrointestinal Mediated Non - motor Symptoms	include	altered intestinal barrier function
117 Correlating Gastrointestinal Mediated Non - motor Symptoms	include	inflammation
117 Correlating Gastrointestinal Mediated Non - motor Symptoms	include	SIBO
These functional or behavioral tests	include	olfaction acuity test
These functional or behavioral tests	include	RBD screen ing questionnaire
These functional or behavioral tests	include	key board tapping test
These functional or behavioral tests	include	the bradykinesia akinesia incoordination test
These functional or behavioral tests	include	acceler ometer based examinations
auerbach ’ s plexuses in cases staged for PD	related	brain pathology
Alpha - synuclein	show	internal organ pathol ogy
Alpha - synuclein	show	autonomic deficits
Short - chain fatty acids	regulate	the e nteric neurons and control gastrointestinal motility